BunruiNo	LemmaID
33320	97569
15506	326085
13042	1977
13084	1977
21523	223320
25161	228462
21527	306233
21521	247940
23084	247940
21527	302531
12340	95490
21660	1979
23084	1979
12590	326906
33040	286080
15402	258997
12390	72353
15155	199568
15260	50248
12590	325602
15401	218131
11523	315001
15260	315001
15260	322824
14410	325167
23851	334618
31920	316620
14120	1993
14430	1993
33020	50256
13046	97316
12390	43306
14420	284804
21540	301489
21532	258852
23391	257464
21540	251001
23392	292967
23392	258845
23392	210551
23392	2047
12590	84031
13001	313718
31302	1995
31920	1995
33001	1995
14210	291847
21530	250656
13332	285294
14430	2002
14650	256435
21521	213931
23230	213931
23630	213931
21560	284660
21531	150219
21210	95884
21521	95884
21531	95884
23100	95884
21211	2004
23430	2004
12590	293709
11741	50277
15240	50277
15601	50277
21535	2011
23021	2011
15501	2012
23851	172636
33014	260707
14551	292128
23430	231669
23650	231669
14410	294275
15720	2015
14460	200126
14460	200126
15402	50292
33014	50322
33020	50322
33710	50322
14440	190496
13823	50301
33013	327585
21511	50303
11830	141984
33014	2022
33020	2022
15721	2024
23001	2034
21344	2028
23014	2028
11840	50310
14410	50321
14440	50321
12590	251388
11920	2035
21521	172128
12390	2037
21521	2038
21584	2038
14720	287299
11920	2050
11960	2050
11961	2050
12640	2052
31940	2054
14410	43357
13311	135674
14500	260773
12650	306946
13160	2164
13321	290022
13421	2072
13100	2076
11621	2077
15402	2078
13440	334199
13100	50350
11720	181142
15402	325716
11000	50363
11600	2081
13841	328042
15401	50379
14650	287595
33068	2086
33068	2086
33068	2086
12100	2088
11623	97969
11720	50410
13067	290274
12660	50394
11711	50391
11940	2095
12130	259135
11961	2099
11961	273964
11960	196761
13040	2103
13061	2103
12590	197880
31913	196494
33012	196494
33420	196494
13160	2116
12760	2120
13030	256241
11940	2123
14000	46963
14000	46964
11584	46964
12100	2127
11711	72420
11635	2129
15000	99684
13311	258551
15030	2147
14252	2150
12100	120200
12320	332302
14410	332302
11611	2271
21210	2300
21531	2300
25160	47115
33040	2179
33040	2179
15401	309655
33310	284706
11730	198351
12410	256160
11700	50217
23360	87085
23650	87085
23851	334085
33310	185581
33680	185581
12590	104840
13160	2164
12100	2157
11700	50217
11940	2186
15410	97567
11600	305919
14551	2190
11730	160796
15401	317180
11621	2201
11621	2201
14000	2196
11700	47049
13000	2205
12020	2208
13031	2215
13551	2222
11911	278169
15603	2229
14570	2230
31612	2235
13540	2237
11730	160796
14560	47065
11622	303860
11960	303860
11961	303860
13122	334765
14210	191439
14460	260675
12600	47073
11611	88004
11730	2268
12590	257874
11902	2269
15250	1934
14410	152292
12590	237715
15403	317089
41170	2292
43010	2292
43200	2292
43210	2292
12450	47107
11531	324719
11530	199587
13422	199587
21530	199960
12530	46968
12301	47108
11584	250353
21210	2296
21211	2296
21531	2296
25701	2296
11521	47109
13084	47109
13311	47109
12590	324503
21521	47110
21531	47110
23332	47110
23630	47110
11700	275099
11584	217620
11527	309547
23091	284310
21531	138788
11720	248066
13391	248066
14430	248066
14200	2307
31920	47116
12390	2309
12590	243771
31660	2318
14650	205720
31660	2318
12150	2319
14200	179857
14560	47135
31920	47137
31920	101274
33320	226232
13360	47139
13800	47139
23084	256398
23084	2322
23430	2322
33020	47152
33020	2314
11600	47143
13320	47143
13520	47143
33500	239906
11633	286592
13020	250959
13542	250959
13000	284326
11700	229230
12130	241599
23543	2337
23700	228742
13840	202203
43210	2342
43210	2343
23031	334872
12390	73809
15601	50277
12390	275191
15010	45507
23031	47179
15410	136101
12590	146716
12590	317173
11000	289853
23532	293617
14660	141140
12590	2367
12590	317135
12590	327035
23532	47181
23532	47181
14460	295400
12590	280208
12630	2369
12590	331399
11642	2372
12050	2372
11640	257467
12210	185301
12390	267000
21527	71355
21600	71355
11635	2381
15501	2381
11635	2380
15501	2380
23003	2379
12590	2385
12390	240627
23851	71356
15501	301640
15702	47216
14460	238946
15402	2391
23003	259695
33003	287398
21240	228480
11621	2401
13310	2401
15700	2401
